date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2020-10-04,5.0,,Zamboanga del Sur,PHL,2021-01-10
2020-10-11,1.0,,Zamboanga del Sur,PHL,2021-01-10
2020-10-18,3.0,,Zamboanga del Sur,PHL,2021-01-10
2020-10-25,2.0,,Zamboanga del Sur,PHL,2021-01-10
2020-11-01,1.0,,Zamboanga del Sur,PHL,2021-01-10
2020-11-08,1.0,,Zamboanga del Sur,PHL,2021-01-10
2020-11-15,1.0,,Zamboanga del Sur,PHL,2021-01-10
2020-11-22,4.0,,Zamboanga del Sur,PHL,2021-01-10
2020-11-29,3.0,,Zamboanga del Sur,PHL,2021-01-10
2020-12-06,2.0,,Zamboanga del Sur,PHL,2021-01-10
2020-12-13,1.0,,Zamboanga del Sur,PHL,2021-01-10
2020-12-20,2.0,,Zamboanga del Sur,PHL,2021-01-10
2020-12-27,1.0,,Zamboanga del Sur,PHL,2021-01-10
2021-01-03,2.0,,Zamboanga del Sur,PHL,2021-01-10
2021-01-10,0.0,,Zamboanga del Sur,PHL,2021-01-10
2021-01-17,,0.0,Zamboanga del Sur,PHL,2021-01-10
2021-01-24,,0.0,Zamboanga del Sur,PHL,2021-01-10
2021-01-31,,0.0,Zamboanga del Sur,PHL,2021-01-10
2021-02-07,,0.0,Zamboanga del Sur,PHL,2021-01-10
